word,tag
yaas,!
yas,!
yasss,!
yday,N/R
yknow,~
yolos,N
youtubers,N
yt,^
yuge,A
yuuuge,A
zoomies,N
zuck,^
