word,category
remasters,D
replug,D
repurpose,D
repurposed,D
requester,D
requesters,D
reshoots,D
reskin,D
reskinned,D
reskins,D
respawn,D
respawning,D
respawns,D
respring,D
respringing,D
retexture,D
retweet,D
retweeting,D
retweets,D
reup,D
reupload,D
reuploaded,D
reuploading,D
rewatchable,D
rewatched,D
rewatches,D
rewatching,D
roaster,D
roided,D
rubberbanding,D
saltier,D
saltiest,D
saltiness,D
sandboxed,D
scammer,D
scammers,D
scammy,D
scannable,D
scooty,D
scoped,D
scrappy,D
scripter,D
scripters,D
scrubby,D
scumming,D
scummy,D
selectable,D
selfie,D
selfies,D
sended,D
sensitives,D
shadiness,D
shady,D
sharding,D
shilled,D
shilling,D
shipper,D
shippers,D
shipping,D
shitlording,D
shoehorning,D
shotgunner,D
shotgunners,D
shotgunning,D
shoting,D
shotted,D
shotting,D
situationally,D
skillers,D
skillwise,D
skippable,D
smalling,D
smurfing,D
snapchats,D
snappy,D
soldiery,D
soloable,D
soonish,D
sourcing,D
spaming,D
spammed,D
spamming,D
spams,D
speccy,D
spendable,D
spender,D
spenders,D
spiking,D
spoilery,D
squeezy,D
squishies,D
stackable,D
stanced,D
statted,D
statwise,D
sticked,D
stickied,D
stompers,D
storywise,D
strategical,D
strawmanning,D
streamer,D
streamers,D
stucked,D
stuttery,D
suboptimal,D
subroutines,D
subsystems,D
subtype,D
suckable,D
swaggy,D
swappable,D
swatched,D
swatches,D
swingy,D
synergize,D
synergizes,D
synergizing,D
synthy,D
tanked,D
tankier,D
tankiest,D
tapings,D
targetable,D
teamed,D
teaming,D
techies,D
techy,D
terpers,D
thankies,D
thirding,D
torrenting,D
transgender,D
transgenderism,D
transgenders,D
transracial,D
trappy,D
trashy,D
trialing,D
tributing,D
trippers,D
trippier,D
trolly,D
tropey,D
trusty,D
tweeted,D
tweeting,D
tweets,D
ubering,D
ultra,D
unactivated,D
unban,D
unbanked,D
unbanned,D
unboxings,D
unburden,D
uncapped,D
uncharacteristically,D
unchecking,D
undelete,D
undodgeable,D
unequip,D
unevolved,D
unfavourable,D
unfollow,D
unfollowed,D
unfollowing,D
unfriend,D
unfun,D
uninstalled,D
uninstaller,D
uninstalling,D
uninteractive,D
unironic,D
unironically,D
unkillable,D
unleveled,D
unmemorable,D
unmodded,D
unranked,D
unreleased,D
unreliability,D
untagged,D
untimed,D
untracked,D
untradable,D
untradeable,D
unverified,D
unwinnable,D
upcharge,D
upfront,D
uptick,D
voided,D
wearable,D
weeklies,D
westernize,D
westernizing,D
whelming,D
wholesaler,D
whys,D
wonky,D
woolie,D
yoloing,D
youtuber,D
youtubers,D
zippy,D
subbing,D/K
desync,D/K
desynch,D/K
desyncs,D/K
equaliser,D/R
binged,E
binging,E
cameo,E
cameos,E
cheeky,E
chill,E
dandy,E
dank,E
daps,E
dingle,E
dope,E
dudes,E
dummy,E
duper,E
emoji,E
emojis,E
faff,E
flub,E
gaffes,E
ghosted,E
ghosting,E
grind,E
heaps,E
hype,E
jank,E
jibber,E
lurk,E
murk,E
nerf,E
peasy,E
perk,E
perks,E
salty,E
savage,E
schtick,E
shtick,E
slayed,E
slog,E
smut,E
snark,E
spam,E
sugoi,E
trolls,E
tweet,E
weaboo,E
weaboos,E
weeaboo,E
weeaboos,E
lurked,E/D
slogging,E/D
addin,K
addme,K
addon,K
adware,K
aerotank,K
amazeballs,K
amiibro,K
amiibros,K
asscheeks,K
autocorrect,K
automod,K
backlighting,K
backside,K
banhammer,K
blastoff,K
bloatware,K
blockchain,K
blogpost,K
botnets,K
buttmad,K
checkout,K
childfree,K
circlejerked,K
counterpicks,K
crapware,K
crowdsurf,K
cryptocurrencies,K
cryptocurrency,K
daytrading,K
downsample,K
downtrend,K
eyebleach,K
fatasses,K
fatshaming,K
gaslight,K
gentlesir,K
giveaways,K
hambeast,K
hambeasts,K
hardtop,K
hashrate,K
hashtag,K
hatemail,K
hotfixed,K
hypergamous,K
hyperthreading,K
icebreaker,K
icebreakers,K
infodump,K
infographics,K
knucklehead,K
layout,K
lemme,K
libdems,K
lightswitch,K
malware,K
marketcap,K
masterrace,K
megaservers,K
microfiber,K
micropayments,K
midlane,K
mindgames,K
mockups,K
motherload,K
moveset,K
movesets,K
naysayers,K
netcode,K
nmother,K
noname,K
nparent,K
ofcourse,K
offroad,K
outerspace,K
outmoded,K
outscale,K
outspeed,K
outspeeds,K
overclockable,K
overgrow,K
payout,K
payouts,K
popstar,K
rollout,K
rucksack,K
rulesets,K
runthrough,K
shadowban,K
shitlady,K
shitlord,K
shitlords,K
showerthoughts,K
signups,K
speakeasy,K
standin,K
standins,K
superclocked,K
superhuman,K
superintelligent,K
thathappened,K
touchups,K
transmisogyny,K
uptrend,K
userscript,K
userscripts,K
watcha,K
webstore,K
whitelists,K
workrates,K
adblockers,K
airhorns,K
airtime,K
anglosphere,K
artstyle,K
asin,K
asspull,K
aswell,K
atleast,K
audiobook,K
autopay,K
autoplay,K
babywearing,K
backend,K
backlight,K
backline,K
backlines,K
backroom,K
backstories,K
backstory,K
bandaid,K
banwave,K
barebones,K
beatmaps,K
beatstick,K
biblethump,K
boardstate,K
bodyblock,K
bodyshot,K
bodyshots,K
bootloop,K
braindead,K
broman,K
btag,K
bumrush,K
bunnyhop,K
callout,K
callouts,K
camgirl,K
camgirls,K
cashback,K
cashgrab,K
cashout,K
catgirl,K
catgirls,K
cherrypick,K
cherrypicked,K
cherrypicking,K
childcare,K
chokepoint,K
chokepoints,K
chucklefucks,K
clickbait,K
clueless,K
codenames,K
conc,K
cooldown,K
cooldowns,K
crapshoot,K
cringefest,K
crossplay,K
crowdfund,K
crowdfunded,K
crowdfunding,K
crybabies,K
crybaby,K
curbstomp,K
curbstomped,K
dashcam,K
datamine,K
datamined,K
dataset,K
datasets,K
deadset,K
deadzone,K
deadzones,K
dogshit,K
dogwhistle,K
doomsayer,K
doomsayers,K
doubleshot,K
downpayment,K
downplaying,K
downscale,K
dropdown,K
droprate,K
echochamber,K
endgame,K
facepulls,K
fairplay,K
fanart,K
fanarts,K
fanbase,K
fanbases,K
fanfiction,K
fangame,K
fangames,K
fanmade,K
fanservice,K
fearmongering,K
firmware,K
firmwares,K
followups,K
foreal,K
forreal,K
forsure,K
framedrops,K
framerates,K
freelancers,K
frontend,K
fuccboi,K
fuckboi,K
fuckboy,K
fuckup,K
fuckups,K
fullscreen,K
futureproof,K
gamechanger,K
gamemode,K
gamemodes,K
gameover,K
gangbanged,K
genderbent,K
genderfluid,K
godtier,K
gonna,K
gotch,K
gotcha,K
gotchu,K
gotta,K
gottem,K
grindfest,K
gynocentric,K
hackusations,K
hairloss,K
hamfisted,K
handwave,K
handwaved,K
hangry,K
hardcoded,K
hardpoints,K
hardwire,K
headcanon,K
headcanons,K
headshot,K
headshots,K
headspace,K
headsup,K
hellscape,K
highground,K
hitbox,K
hitboxes,K
hitreg,K
hitscan,K
homelab,K
hotfix,K
hotfixes,K
hotswap,K
humblebrag,K
humblebragging,K
hurtbox,K
iam,K
ima,K
ingame,K
instakill,K
instakilled,K
instakilling,K
instakills,K
jackshit,K
jumpscare,K
jumpscares,K
kext,K
kexts,K
keycap,K
keycaps,K
kinda,K
labtech,K
leaderboard,K
leaderboards,K
lipsync,K
loadout,K
loadouts,K
longform,K
longsleeve,K
longterm,K
lowkey,K
ludes,K
manchild,K
manchildren,K
matchfixing,K
matchups,K
meatshield,K
meatshields,K
megathread,K
megathreads,K
miniboss,K
minigame,K
minmax,K
minmaxing,K
modlist,K
modmail,K
modmic,K
neurotypical,K
niceguy,K
offlaner,K
offlaners,K
offscreen,K
offseason,K
oneshot,K
oneshots,K
opps,K
overarching,K
overbuffed,K
overcomplicate,K
overhype,K
overhyping,K
overnights,K
overperformed,K
overperforming,K
overrepresented,K
oversaturated,K
oversharing,K
overthink,K
overthinking,K
overthought,K
paintjobs,K
paygrade,K
payscale,K
paystubs,K
paywalled,K
paywalls,K
pickrate,K
playerbase,K
playerbases,K
playlist,K
playmaker,K
playmaking,K
playstyle,K
playstyles,K
playthrough,K
playthroughs,K
podcast,K
podcaster,K
podcasters,K
podcasting,K
podcasts,K
powercreep,K
powerlifting,K
powerplant,K
powerup,K
powerups,K
pushback,K
pushdowns,K
quadcopters,K
ransomware,K
rapidfire,K
roadmap,K
roleplay,K
roleplayer,K
runtime,K
runtimes,K
rushdown,K
sandbagging,K
scanlations,K
screenshot,K
screenshotted,K
screenshotting,K
screentime,K
scrollwheel,K
scrublord,K
shadowbanned,K
shapeshift,K
shapeshifting,K
shitfest,K
shitlist,K
shitpost,K
shitposted,K
shitposter,K
shitposters,K
shitposting,K
shitposts,K
shitshow,K
shitstain,K
shitstains,K
shittalk,K
shittalking,K
shortlist,K
shortlisted,K
shoutout,K
shoutouts,K
sightline,K
sightlines,K
sitewide,K
skillset,K
skillsets,K
skillups,K
skincare,K
smackdown,K
snoozefest,K
someshit,K
soundstage,K
speedrun,K
spitballing,K
sportsball,K
staches,K
stakeholders,K
standalones,K
standart,K
standarts,K
startup,K
startups,K
statline,K
steamroll,K
steamrolled,K
steamrolling,K
steamrolls,K
storymode,K
subpar,K
supercut,K
superfan,K
superfans,K
superheavy,K
superintelligence,K
superweapon,K
superweapons,K
sweetspot,K
synthpop,K
takeaway,K
teambuilding,K
teamkill,K
teamplay,K
timeframe,K
timeframes,K
timeline,K
timelines,K
timeskip,K
timestamp,K
timestamps,K
timezone,K
townhall,K
tracksuit,K
trainwreck,K
tryhard,K
tryhards,K
tryna,K
trynna,K
ultrawide,K
undercosted,K
underdosed,K
underleveled,K
underperform,K
underperformance,K
underperformed,K
underperforming,K
underperforms,K
usecase,K
viewerbase,K
viewership,K
vloggers,K
waitlist,K
wallhack,K
wallhacking,K
wallhacks,K
walljump,K
wanna,K
weakpoint,K
weakpoints,K
weakspot,K
webinar,K
webinars,K
whitewashed,K
whitewashing,K
winrate,K
winrates,K
winstreak,K
workaround,K
workarounds,K
workflow,K
workflows,K
worksheet,K
worldbuilding,K
writeup,K
yall,K
yalls,K
yknow,K
downsampled,K/D
downsampling,K/D
feats,K/D
fuckwits,K/D
outscaled,K/D
outscales,K/D
roflstomps,K/D
scanlators,K/D
shadowbanning,K/D
shadowbans,K/D
snapshotting,K/D
nawh,O
ah,O
aha,O
ahah,O
ahas,O
ay,O
ayee,O
ayeee,O
ayy,O
ayyy,O
ayyye,O
booo,O
boops,O
bork,O
borked,O
brrrt,O
clacks,O
doot,O
dundun,O
eesh,O
ehehe,O
ehhh,O
errm,O
eyy,O
eyyy,O
hahahah,O
har,O
heey,O
heya,O
heyo,O
hiya,O
hm,O
hng,O
hnggg,O
hnng,O
hnnng,O
hnnngg,O
hnnngh,O
huh,O
meeps,O
mmh,O
moly,O
muah,O
nae,O
noot,O
obummer,O
oo,O
oof,O
ooh,O
ooof,O
oooh,O
screee,O
splunk,O
squelch,O
ugh,O
ughhh,O
uh,O
uhhh,O
um,O
uuugh,O
uuuh,O
welp,O
wew,O
whoops,O
wubba,O
yaaas,O
yas,O
yass,O
yasss,O
yeah,O
yee,O
yeh,O
yikes,O
zowie,O
zzz,O
obeasts,R
acess,R
addded,R
adressed,R
adressing,R
aginst,R
agressively,R
aknowledge,R
allright,R
allthough,R
alright,R
altho,R
altough,R
analysing,R
antagonise,R
appriciated,R
aproach,R
arround,R
artefacts,R
artifical,R
aswel,R
atack,R
authoritah,R
avaible,R
avarage,R
baad,R
babyyy,R
baybay,R
beeing,R
beez,R
beggining,R
behaviour,R
belive,R
bingeing,R
boi,R
boiii,R
bois,R
boiz,R
booom,R
boyyy,R
boyz,R
brah,R
brahs,R
breh,R
bretty,R
buks,R
buuut,R
byeee,R
capitalise,R
centralisation,R
challange,R
challanges,R
characterisation,R
chosing,R
colonisation,R
colonised,R
colonising,R
colourless,R
competive,R
completly,R
condishuns,R
conpletely,R
consistenly,R
continous,R
continously,R
controll,R
couldve,R
criticise,R
criticised,R
criticises,R
criticising,R
customisation,R
damge,R
damit,R
damm,R
daysss,R
ded,R
defening,R
defenitely,R
deffo,R
definetely,R
definetly,R
definitelly,R
definitly,R
defintely,R
diference,R
diferent,R
differents,R
differin,R
dissapointing,R
dissappear,R
doe,R
doesnt,R
doge,R
doges,R
dooope,R
droping,R
dunno,R
duuude,R
easly,R
eevn,R
ennemies,R
equalise,R
equiped,R
everytiem,R
exacly,R
ez,R
ezpz,R
fantasising,R
favourable,R
favourably,R
favourites,R
favouritism,R
fawk,R
fck,R
fcked,R
fckin,R
fcking,R
feelz,R
ferm,R
finalised,R
fk,R
fked,R
fkin,R
fking,R
fkn,R
flavours,R
floof,R
friendo,R
frustating,R
fuckkk,R
fued,R
fulfilment,R
fuuuck,R
fuuun,R
fuxk,R
gaffs,R
gage,R
gainz,R
garunteed,R
geddit,R
giveway,R
gooo,R
guarenteed,R
gud,R
gungho,R
gurantee,R
guranteed,R
gurls,R
hai,R
halp,R
hasnt,R
havent,R
hax,R
haxor,R
headcannon,R
heff,R
hii,R
hiii,R
honourable,R
honoured,R
hoola,R
hoomans,R
hoooly,R
husbando,R
hwat,R
ideea,R
imposible,R
incentivise,R
incentivised,R
isnt,R
kewl,R
knitpicks,R
laff,R
literaly,R
litt,R
litterally,R
litteraly,R
litterly,R
lmaoo,R
lmaooo,R
lmfaooo,R
localisation,R
lolipop,R
loll,R
lolll,R
lool,R
loool,R
looot,R
loot,R
lov,R
lvl,R
lyf,R
lyfe,R
maaaybe,R
maintenence,R
mainz,R
maked,R
mami,R
mang,R
manoeuvrability,R
mantain,R
maximise,R
maximising,R
mayby,R
mayyybe,R
meaningfull,R
mentionned,R
meself,R
mightve,R
minimise,R
minimising,R
missus,R
modernisation,R
moisturisers,R
monetisation,R
moolah,R
muh,R
musst,R
mutiple,R
nah,R
narative,R
neato,R
neh,R
niice,R
noisey,R
nooice,R
normalised,R
nothings,R
nowdays,R
nuffin,R
officialy,R
okey,R
opiod,R
oponent,R
oponents,R
oportunity,R
opress,R
opressing,R
opressive,R
optimised,R
optimising,R
organise,R
patchwerk,R
peasent,R
peasents,R
pefect,R
perfomance,R
plagiarised,R
plattform,R
pleasee,R
pleaseee,R
plis,R
pliss,R
pliz,R
plox,R
pls,R
plss,R
plsss,R
plz,R
plzz,R
plzzz,R
